staff_id,attendance_percentage,avg_working_hours,avg_minutes_late,logbook_submissions,task_completion_rate,feedback_score,salary_credit_score
EMP001,62,5.3,9,3,0.92,3.6,47.4
EMP002,75,8.0,11,4,0.87,4.2,55.5
EMP003,82,6.1,13,12,0.77,3.2,51.8
EMP004,70,8.6,13,12,0.8,3.3,54.4
EMP005,71,7.1,1,14,0.75,4.5,54.1
EMP006,69,8.2,22,14,0.65,3.6,49.8
EMP007,91,8.9,4,8,0.78,4.5,61.6
EMP008,75,8.4,4,6,0.84,4.6,57.6
EMP009,67,8.5,5,15,0.94,4.6,59.4
EMP010,97,6.6,12,9,0.82,4.8,58.6
EMP011,71,7.2,8,13,0.88,3.6,54.8
EMP012,83,6.0,29,13,0.58,3.3,45.9
EMP013,87,5.8,21,8,0.73,4.0,50.4
EMP014,67,7.0,27,6,0.5,3.4,41.3
EMP015,87,7.4,28,15,0.62,4.0,51.8
EMP016,95,6.4,14,11,0.86,4.3,58.2
EMP017,85,7.3,13,0,1.0,4.2,58.1
EMP018,67,8.5,23,15,0.55,3.4,47.7
EMP019,87,7.2,6,11,0.7,2.9,54.4
EMP020,87,7.9,24,7,0.9,3.6,57.0
EMP021,96,8.2,19,3,0.6,2.9,53.0
EMP022,100,9.0,1,2,0.78,4.7,63.6
EMP023,95,7.4,6,15,0.87,3.4,61.5
EMP024,86,8.2,5,13,0.81,2.9,58.8
EMP025,76,8.9,16,12,0.59,2.6,51.2
EMP026,68,8.8,26,6,0.68,4.1,49.6
EMP027,92,5.6,24,11,0.89,4.1,54.7
EMP028,79,6.6,24,2,0.78,3.4,48.8
EMP029,72,6.3,27,7,0.5,2.7,40.7
EMP030,87,5.3,1,5,0.88,3.5,54.3
EMP031,88,7.5,2,4,0.52,3.3,51.2
EMP032,72,7.9,4,3,0.87,4.2,55.4
EMP033,94,8.4,4,7,0.6,4.0,57.1
EMP034,65,5.5,30,7,0.98,3.4,47.2
EMP035,77,8.5,0,11,0.68,3.0,55.0
EMP036,64,7.6,7,0,0.66,5.0,48.4
EMP037,84,7.8,11,8,0.57,3.6,51.6
EMP038,61,8.6,23,13,0.65,4.2,48.8
EMP039,69,7.5,3,4,0.94,2.9,54.3
EMP040,89,6.3,12,3,1.0,3.7,57.4
EMP041,64,8.3,22,5,0.68,2.6,46.5
EMP042,92,6.5,14,5,0.72,3.8,53.1
EMP043,60,5.1,30,1,0.86,4.9,43.0
EMP044,77,8.3,10,7,0.94,3.5,58.0
EMP045,91,6.4,9,6,0.8,2.6,54.0
EMP046,70,8.1,2,15,0.7,2.6,53.0
EMP047,80,6.5,21,0,0.71,3.5,47.6
EMP048,85,8.4,13,4,0.85,2.9,56.8
EMP049,84,5.9,15,15,0.5,2.6,46.2
EMP050,81,8.9,9,11,0.81,4.4,59.5
EMP051,86,8.1,28,5,0.68,3.6,51.7
EMP052,72,5.5,9,3,0.9,3.2,49.4
EMP053,92,7.3,11,1,0.55,4.8,52.0
EMP054,93,8.9,29,12,0.79,2.8,57.7
EMP055,100,6.9,8,13,0.74,4.9,59.9
EMP056,94,5.7,0,3,0.82,3.3,55.2
EMP057,60,6.9,4,0,0.53,4.7,43.5
EMP058,80,7.0,19,6,0.79,4.0,52.2
EMP059,65,8.0,7,1,0.78,4.6,51.6
EMP060,87,7.8,10,12,0.78,5.0,58.8
EMP061,76,6.6,11,1,0.8,3.2,50.0
EMP062,64,5.9,0,8,0.84,4.9,51.1
EMP063,90,7.6,24,4,0.9,3.5,56.4
EMP064,64,6.7,21,1,0.63,3.5,42.6
EMP065,97,5.5,19,10,0.91,3.4,56.0
EMP066,62,8.6,27,8,0.75,3.9,49.2
